region,sector,subsector,technology,year,generation_ej
USA,electricity,coal,coal (conv pul),1990,6.02904
USA,electricity,coal,coal (conv pul),2005,7.68042
USA,electricity,coal,coal (conv pul),2010,7.10522
USA,electricity,coal,coal (conv pul),2015,5.23834
USA,electricity,coal,coal (conv pul),2021,3.53554
USA,electricity,coal,coal (conv pul),2025,3.43533
USA,electricity,coal,coal (conv pul),2030,3.62439
USA,electricity,coal,coal (conv pul),2035,3.99492
USA,electricity,coal,coal (conv pul),2040,4.38607
USA,electricity,coal,coal (conv pul),2045,4.78766
USA,electricity,coal,coal (conv pul),2050,5.67102
USA,electricity,coal,coal (conv pul),2055,6.2057
USA,electricity,coal,coal (conv pul),2060,6.71745
USA,electricity,coal,coal (conv pul),2065,7.28616
USA,electricity,coal,coal (conv pul),2070,7.97477
USA,electricity,coal,coal (conv pul),2075,8.63004
USA,electricity,coal,coal (conv pul),2080,9.38709
USA,electricity,coal,coal (conv pul),2085,10.0963
USA,electricity,coal,coal (conv pul),2090,10.4585
USA,electricity,coal,coal (conv pul),2095,10.6727
USA,electricity,coal,coal (conv pul),2100,10.7592
USA,electricity,coal,coal (IGCC),2030,0.00202623
USA,electricity,coal,coal (IGCC),2035,0.00506041
USA,electricity,coal,coal (IGCC),2040,0.00822108
USA,electricity,coal,coal (IGCC),2045,0.011462
USA,electricity,coal,coal (IGCC),2050,0.0165097
USA,electricity,coal,coal (IGCC),2055,0.0199213
USA,electricity,coal,coal (IGCC),2060,0.0229056
USA,electricity,coal,coal (IGCC),2065,0.0256936
USA,electricity,coal,coal (IGCC),2070,0.0284963
USA,electricity,coal,coal (IGCC),2075,0.0308991
USA,electricity,coal,coal (IGCC),2080,0.0338723
USA,electricity,coal,coal (IGCC),2085,0.0358162
USA,electricity,coal,coal (IGCC),2090,0.0356982
USA,electricity,coal,coal (IGCC),2095,0.0347764
USA,electricity,coal,coal (IGCC),2100,0.0335676
USA,electricity,gas,gas (steam/CT),1990,0.436745
USA,electricity,gas,gas (steam/CT),2005,0.668595
USA,electricity,gas,gas (steam/CT),2010,1.47783
USA,electricity,gas,gas (steam/CT),2015,1.60469
USA,electricity,gas,gas (steam/CT),2021,1.6318
USA,electricity,gas,gas (steam/CT),2025,1.63316
USA,electricity,gas,gas (steam/CT),2030,1.6431
USA,electricity,gas,gas (steam/CT),2035,1.62313
USA,electricity,gas,gas (steam/CT),2040,1.59811
USA,electricity,gas,gas (steam/CT),2045,1.52334
USA,electricity,gas,gas (steam/CT),2050,1.45721
USA,electricity,gas,gas (steam/CT),2055,1.38661
USA,electricity,gas,gas (steam/CT),2060,1.39745
USA,electricity,gas,gas (steam/CT),2065,1.36131
USA,electricity,gas,gas (steam/CT),2070,1.21851
USA,electricity,gas,gas (steam/CT),2075,1.0803
USA,electricity,gas,gas (steam/CT),2080,0.975817
USA,electricity,gas,gas (steam/CT),2085,0.839966
USA,electricity,gas,gas (steam/CT),2090,0.748293
USA,electricity,gas,gas (steam/CT),2095,0.611207
USA,electricity,gas,gas (steam/CT),2100,0.514131
USA,electricity,gas,gas (CC),1990,0.589542
USA,electricity,gas,gas (CC),2005,1.90081
USA,electricity,gas,gas (CC),2010,1.90671
USA,electricity,gas,gas (CC),2015,3.03618
USA,electricity,gas,gas (CC),2021,3.90054
USA,electricity,gas,gas (CC),2025,4.31488
USA,electricity,gas,gas (CC),2030,4.42015
USA,electricity,gas,gas (CC),2035,4.36287
USA,electricity,gas,gas (CC),2040,4.27618
USA,electricity,gas,gas (CC),2045,4.17094
USA,electricity,gas,gas (CC),2050,4.32699
USA,electricity,gas,gas (CC),2055,4.38225
USA,electricity,gas,gas (CC),2060,4.55656
USA,electricity,gas,gas (CC),2065,4.49737
USA,electricity,gas,gas (CC),2070,4.42398
USA,electricity,gas,gas (CC),2075,4.49829
USA,electricity,gas,gas (CC),2080,4.81921
USA,electricity,gas,gas (CC),2085,4.85478
USA,electricity,gas,gas (CC),2090,4.94137
USA,electricity,gas,gas (CC),2095,4.90927
USA,electricity,gas,gas (CC),2100,5.01318
USA,electricity,biomass,biomass (conv),1990,0.0791343
USA,electricity,biomass,biomass (conv),2005,0.110634
USA,electricity,biomass,biomass (conv),2010,0.112641
USA,electricity,biomass,biomass (conv),2015,0.124585
USA,electricity,biomass,biomass (conv),2021,0.108182
USA,electricity,biomass,biomass (conv),2025,0.0988985
USA,electricity,biomass,biomass (conv),2030,0.099594
USA,electricity,biomass,biomass (conv),2035,0.102519
USA,electricity,biomass,biomass (conv),2040,0.113197
USA,electricity,biomass,biomass (conv),2045,0.130477
USA,electricity,biomass,biomass (conv),2050,0.160296
USA,electricity,biomass,biomass (conv),2055,0.169769
USA,electricity,biomass,biomass (conv),2060,0.179711
USA,electricity,biomass,biomass (conv),2065,0.192453
USA,electricity,biomass,biomass (conv),2070,0.209195
USA,electricity,biomass,biomass (conv),2075,0.223957
USA,electricity,biomass,biomass (conv),2080,0.24575
USA,electricity,biomass,biomass (conv),2085,0.23978
USA,electricity,biomass,biomass (conv),2090,0.246566
USA,electricity,biomass,biomass (conv),2095,0.261356
USA,electricity,biomass,biomass (conv),2100,0.275523
USA,electricity,biomass,biomass (IGCC),2030,0.00536681
USA,electricity,biomass,biomass (IGCC),2035,0.0100984
USA,electricity,biomass,biomass (IGCC),2040,0.016434
USA,electricity,biomass,biomass (IGCC),2045,0.0245229
USA,electricity,biomass,biomass (IGCC),2050,0.0396057
USA,electricity,biomass,biomass (IGCC),2055,0.0506651
USA,electricity,biomass,biomass (IGCC),2060,0.061792
USA,electricity,biomass,biomass (IGCC),2065,0.0737202
USA,electricity,biomass,biomass (IGCC),2070,0.0874916
USA,electricity,biomass,biomass (IGCC),2075,0.100551
USA,electricity,biomass,biomass (IGCC),2080,0.118844
USA,electricity,biomass,biomass (IGCC),2085,0.131287
USA,electricity,biomass,biomass (IGCC),2090,0.14154
USA,electricity,biomass,biomass (IGCC),2095,0.155559
USA,electricity,biomass,biomass (IGCC),2100,0.168865
USA,electricity,nuclear,Gen_II_LWR,1990,2.20138
USA,electricity,nuclear,Gen_II_LWR,2005,2.91858
USA,electricity,nuclear,Gen_II_LWR,2010,3.02008
USA,electricity,nuclear,Gen_II_LWR,2015,2.98894
USA,electricity,nuclear,Gen_II_LWR,2021,2.92154
USA,electricity,nuclear,Gen_II_LWR,2025,2.83963
USA,electricity,nuclear,Gen_II_LWR,2030,2.69979
USA,electricity,nuclear,Gen_II_LWR,2035,2.50466
USA,electricity,nuclear,Gen_II_LWR,2040,2.2427
USA,electricity,nuclear,Gen_II_LWR,2045,1.91401
USA,electricity,nuclear,Gen_II_LWR,2050,1.53835
USA,electricity,nuclear,Gen_II_LWR,2055,1.17243
USA,electricity,nuclear,Gen_II_LWR,2060,0.844457
USA,electricity,nuclear,Gen_II_LWR,2065,0.577913
USA,electricity,nuclear,Gen_II_LWR,2070,0.380105
USA,electricity,nuclear,Gen_II_LWR,2075,0.242982
USA,electricity,nuclear,Gen_III,2030,0.0823383
USA,electricity,nuclear,Gen_III,2035,0.215729
USA,electricity,nuclear,Gen_III,2040,0.366043
USA,electricity,nuclear,Gen_III,2045,0.53129
USA,electricity,nuclear,Gen_III,2050,0.803148
USA,electricity,nuclear,Gen_III,2055,0.998122
USA,electricity,nuclear,Gen_III,2060,1.17687
USA,electricity,nuclear,Gen_III,2065,1.35083
USA,electricity,nuclear,Gen_III,2070,1.53163
USA,electricity,nuclear,Gen_III,2075,1.69094
USA,electricity,nuclear,Gen_III,2080,1.89336
USA,electricity,nuclear,Gen_III,2085,2.02886
USA,electricity,nuclear,Gen_III,2090,2.08276
USA,electricity,nuclear,Gen_III,2095,2.10337
USA,electricity,nuclear,Gen_III,2100,2.10015
USA,electricity,hydro,hydro,1990,0.983347
USA,electricity,hydro,hydro,2005,0.980802
USA,electricity,hydro,hydro,2010,0.944158
USA,electricity,hydro,hydro,2015,0.903665
USA,electricity,hydro,hydro,2021,0.912524
USA,electricity,hydro,hydro,2025,0.9193
USA,electricity,hydro,hydro,2030,0.927769
USA,electricity,hydro,hydro,2035,0.936238
USA,electricity,hydro,hydro,2040,0.944707
USA,electricity,hydro,hydro,2045,0.953176
USA,electricity,hydro,hydro,2050,0.961645
USA,electricity,hydro,hydro,2055,0.970114
USA,electricity,hydro,hydro,2060,0.978583
USA,electricity,hydro,hydro,2065,0.987052
USA,electricity,hydro,hydro,2070,0.995521
USA,electricity,hydro,hydro,2075,1.00399
USA,electricity,hydro,hydro,2080,1.01246
USA,electricity,hydro,hydro,2085,1.02093
USA,electricity,hydro,hydro,2090,1.0294
USA,electricity,hydro,hydro,2095,1.03787
USA,electricity,hydro,hydro,2100,1.04634
USA,electricity,wind,wind_storage,2025,0.00144957
USA,electricity,wind,wind_storage,2030,0.00144957
USA,electricity,wind,wind_storage,2035,0.00144957
USA,electricity,wind,wind_storage,2040,0.00144957
USA,electricity,wind,wind_storage,2045,0.00144957
USA,electricity,wind,wind_storage,2050,0.00144957
USA,electricity,wind,wind_storage,2030,0.00342554
USA,electricity,wind,wind_storage,2035,0.00342554
USA,electricity,wind,wind_storage,2040,0.00342554
USA,electricity,wind,wind_storage,2045,0.00342554
USA,electricity,wind,wind_storage,2050,0.00342554
USA,electricity,wind,wind_storage,2055,0.00342554
USA,electricity,wind,wind_storage,2035,0.00572081
USA,electricity,wind,wind_storage,2040,0.00572081
USA,electricity,wind,wind_storage,2045,0.00572081
USA,electricity,wind,wind_storage,2050,0.00572081
USA,electricity,wind,wind_storage,2055,0.00572081
USA,electricity,wind,wind_storage,2060,0.00572081
USA,electricity,wind,wind_storage,2040,0.0110988
USA,electricity,wind,wind_storage,2045,0.0110988
USA,electricity,wind,wind_storage,2050,0.0110988
USA,electricity,wind,wind_storage,2055,0.0110988
USA,electricity,wind,wind_storage,2060,0.0110988
USA,electricity,wind,wind_storage,2065,0.0110988
USA,electricity,wind,wind_storage,2045,0.0180832
USA,electricity,wind,wind_storage,2050,0.0180832
USA,electricity,wind,wind_storage,2055,0.0180832
USA,electricity,wind,wind_storage,2060,0.0180832
USA,electricity,wind,wind_storage,2065,0.0180832
USA,electricity,wind,wind_storage,2070,0.0180832
USA,electricity,wind,wind_storage,2050,0.0350407
USA,electricity,wind,wind_storage,2055,0.0350407
USA,electricity,wind,wind_storage,2060,0.0350407
USA,electricity,wind,wind_storage,2065,0.0350407
USA,electricity,wind,wind_storage,2070,0.0350407
USA,electricity,wind,wind_storage,2075,0.0350407
USA,electricity,wind,wind_storage,2055,0.0297362
USA,electricity,wind,wind_storage,2060,0.0297362
USA,electricity,wind,wind_storage,2065,0.0297362
USA,electricity,wind,wind_storage,2070,0.0297362
USA,electricity,wind,wind_storage,2075,0.0297362
USA,electricity,wind,wind_storage,2080,0.0297362
USA,electricity,wind,wind_storage,2060,0.0301147
USA,electricity,wind,wind_storage,2065,0.0301147
USA,electricity,wind,wind_storage,2070,0.0301147
USA,electricity,wind,wind_storage,2075,0.0301147
USA,electricity,wind,wind_storage,2080,0.0301147
USA,electricity,wind,wind_storage,2085,0.0301147
USA,electricity,wind,wind_storage,2065,0.0313291
USA,electricity,wind,wind_storage,2070,0.0313291
USA,electricity,wind,wind_storage,2075,0.0313291
USA,electricity,wind,wind_storage,2080,0.0313291
USA,electricity,wind,wind_storage,2085,0.0313291
USA,electricity,wind,wind_storage,2090,0.0313291
USA,electricity,wind,wind_storage,2070,0.0335879
USA,electricity,wind,wind_storage,2075,0.0335879
USA,electricity,wind,wind_storage,2080,0.0335879
USA,electricity,wind,wind_storage,2085,0.0335879
USA,electricity,wind,wind_storage,2090,0.0335879
USA,electricity,wind,wind_storage,2095,0.0335879
USA,electricity,wind,wind_storage,2075,0.0293789
USA,electricity,wind,wind_storage,2080,0.0293789
USA,electricity,wind,wind_storage,2085,0.0293789
USA,electricity,wind,wind_storage,2090,0.0293789
USA,electricity,wind,wind_storage,2095,0.0293789
USA,electricity,wind,wind_storage,2100,0.0293789
USA,electricity,wind,wind_storage,2080,0.0363762
USA,electricity,wind,wind_storage,2085,0.0363762
USA,electricity,wind,wind_storage,2090,0.0363762
USA,electricity,wind,wind_storage,2095,0.0363762
USA,electricity,wind,wind_storage,2100,0.0363762
USA,electricity,wind,wind_storage,2085,0.0235226
USA,electricity,wind,wind_storage,2090,0.0235226
USA,electricity,wind,wind_storage,2095,0.0235226
USA,electricity,wind,wind_storage,2100,0.0235226
USA,electricity,wind,wind_storage,2090,0.0231121
USA,electricity,wind,wind_storage,2095,0.0231121
USA,electricity,wind,wind_storage,2100,0.0231121
USA,electricity,wind,wind_storage,2095,0.0255637
USA,electricity,wind,wind_storage,2100,0.0255637
USA,electricity,wind,wind_storage,2100,0.0240214
USA,electricity,wind,wind,1990,0.011038
USA,electricity,wind,wind,2005,0.0643708
USA,electricity,wind,wind,2010,0.342525
USA,electricity,wind,wind,2015,0.69475
USA,electricity,wind,wind,2021,1.37811
USA,electricity,wind,wind,2025,1.37811
USA,electricity,wind,wind,2030,1.37811
USA,electricity,wind,wind,2035,1.37811
USA,electricity,wind,wind,2040,1.37811
USA,electricity,wind,wind,2045,1.37811
USA,electricity,wind,wind,2025,0.608288
USA,electricity,wind,wind,2030,0.608288
USA,electricity,wind,wind,2035,0.608288
USA,electricity,wind,wind,2040,0.608288
USA,electricity,wind,wind,2045,0.608288
USA,electricity,wind,wind,2050,0.608288
USA,electricity,wind,wind,2030,0.623516
USA,electricity,wind,wind,2035,0.623516
USA,electricity,wind,wind,2040,0.623516
USA,electricity,wind,wind,2045,0.623516
USA,electricity,wind,wind,2050,0.623516
USA,electricity,wind,wind,2055,0.623516
USA,electricity,wind,wind,2035,0.518266
USA,electricity,wind,wind,2040,0.518266
USA,electricity,wind,wind,2045,0.518266
USA,electricity,wind,wind,2050,0.518266
USA,electricity,wind,wind,2055,0.518266
USA,electricity,wind,wind,2060,0.518266
USA,electricity,wind,wind,2040,0.554998
USA,electricity,wind,wind,2045,0.554998
USA,electricity,wind,wind,2050,0.554998
USA,electricity,wind,wind,2055,0.554998
USA,electricity,wind,wind,2060,0.554998
USA,electricity,wind,wind,2065,0.554998
USA,electricity,wind,wind,2045,0.552309
USA,electricity,wind,wind,2050,0.552309
USA,electricity,wind,wind,2055,0.552309
USA,electricity,wind,wind,2060,0.552309
USA,electricity,wind,wind,2065,0.552309
USA,electricity,wind,wind,2070,0.552309
USA,electricity,wind,wind,2050,1.07052
USA,electricity,wind,wind,2055,1.07052
USA,electricity,wind,wind,2060,1.07052
USA,electricity,wind,wind,2065,1.07052
USA,electricity,wind,wind,2070,1.07052
USA,electricity,wind,wind,2075,1.07052
USA,electricity,wind,wind,2055,0.758212
USA,electricity,wind,wind,2060,0.758212
USA,electricity,wind,wind,2065,0.758212
USA,electricity,wind,wind,2070,0.758212
USA,electricity,wind,wind,2075,0.758212
USA,electricity,wind,wind,2080,0.758212
USA,electricity,wind,wind,2060,0.695099
USA,electricity,wind,wind,2065,0.695099
USA,electricity,wind,wind,2070,0.695099
USA,electricity,wind,wind,2075,0.695099
USA,electricity,wind,wind,2080,0.695099
USA,electricity,wind,wind,2085,0.695099
USA,electricity,wind,wind,2065,0.653378
USA,electricity,wind,wind,2070,0.653378
USA,electricity,wind,wind,2075,0.653378
USA,electricity,wind,wind,2080,0.653378
USA,electricity,wind,wind,2085,0.653378
USA,electricity,wind,wind,2090,0.653378
USA,electricity,wind,wind,2070,0.657395
USA,electricity,wind,wind,2075,0.657395
USA,electricity,wind,wind,2080,0.657395
USA,electricity,wind,wind,2085,0.657395
USA,electricity,wind,wind,2090,0.657395
USA,electricity,wind,wind,2095,0.657395
USA,electricity,wind,wind,2075,0.571865
USA,electricity,wind,wind,2080,0.571865
USA,electricity,wind,wind,2085,0.571865
USA,electricity,wind,wind,2090,0.571865
USA,electricity,wind,wind,2095,0.571865
USA,electricity,wind,wind,2100,0.571865
USA,electricity,wind,wind,2080,0.77872
USA,electricity,wind,wind,2085,0.77872
USA,electricity,wind,wind,2090,0.77872
USA,electricity,wind,wind,2095,0.77872
USA,electricity,wind,wind,2100,0.77872
USA,electricity,wind,wind,2085,0.545605
USA,electricity,wind,wind,2090,0.545605
USA,electricity,wind,wind,2095,0.545605
USA,electricity,wind,wind,2100,0.545605
USA,electricity,wind,wind,2090,0.559243
USA,electricity,wind,wind,2095,0.559243
USA,electricity,wind,wind,2100,0.559243
USA,electricity,wind,wind,2095,0.631907
USA,electricity,wind,wind,2100,0.631907
USA,electricity,wind,wind,2100,0.600979
USA,electricity,wind,wind_offshore,2025,0.0102857
USA,electricity,wind,wind_offshore,2030,0.0102857
USA,electricity,wind,wind_offshore,2035,0.0102857
USA,electricity,wind,wind_offshore,2040,0.0102857
USA,electricity,wind,wind_offshore,2045,0.0102857
USA,electricity,wind,wind_offshore,2030,0.025785
USA,electricity,wind,wind_offshore,2035,0.025785
USA,electricity,wind,wind_offshore,2040,0.025785
USA,electricity,wind,wind_offshore,2045,0.025785
USA,electricity,wind,wind_offshore,2050,0.025785
USA,electricity,wind,wind_offshore,2035,0.0354273
USA,electricity,wind,wind_offshore,2040,0.0354273
USA,electricity,wind,wind_offshore,2045,0.0354273
USA,electricity,wind,wind_offshore,2050,0.0354273
USA,electricity,wind,wind_offshore,2055,0.0354273
USA,electricity,wind,wind_offshore,2040,0.0541093
USA,electricity,wind,wind_offshore,2045,0.0541093
USA,electricity,wind,wind_offshore,2050,0.0541093
USA,electricity,wind,wind_offshore,2055,0.0541093
USA,electricity,wind,wind_offshore,2060,0.0541093
USA,electricity,wind,wind_offshore,2045,0.0704933
USA,electricity,wind,wind_offshore,2050,0.0704933
USA,electricity,wind,wind_offshore,2055,0.0704933
USA,electricity,wind,wind_offshore,2060,0.0704933
USA,electricity,wind,wind_offshore,2065,0.0704933
USA,electricity,wind,wind_offshore,2050,0.112221
USA,electricity,wind,wind_offshore,2055,0.112221
USA,electricity,wind,wind_offshore,2060,0.112221
USA,electricity,wind,wind_offshore,2065,0.112221
USA,electricity,wind,wind_offshore,2070,0.112221
USA,electricity,wind,wind_offshore,2055,0.0760989
USA,electricity,wind,wind_offshore,2060,0.0760989
USA,electricity,wind,wind_offshore,2065,0.0760989
USA,electricity,wind,wind_offshore,2070,0.0760989
USA,electricity,wind,wind_offshore,2075,0.0760989
USA,electricity,wind,wind_offshore,2060,0.0666923
USA,electricity,wind,wind_offshore,2065,0.0666923
USA,electricity,wind,wind_offshore,2070,0.0666923
USA,electricity,wind,wind_offshore,2075,0.0666923
USA,electricity,wind,wind_offshore,2080,0.0666923
USA,electricity,wind,wind_offshore,2065,0.0636405
USA,electricity,wind,wind_offshore,2070,0.0636405
USA,electricity,wind,wind_offshore,2075,0.0636405
USA,electricity,wind,wind_offshore,2080,0.0636405
USA,electricity,wind,wind_offshore,2085,0.0636405
USA,electricity,wind,wind_offshore,2070,0.0653002
USA,electricity,wind,wind_offshore,2075,0.0653002
USA,electricity,wind,wind_offshore,2080,0.0653002
USA,electricity,wind,wind_offshore,2085,0.0653002
USA,electricity,wind,wind_offshore,2090,0.0653002
USA,electricity,wind,wind_offshore,2075,0.0595505
USA,electricity,wind,wind_offshore,2080,0.0595505
USA,electricity,wind,wind_offshore,2085,0.0595505
USA,electricity,wind,wind_offshore,2090,0.0595505
USA,electricity,wind,wind_offshore,2095,0.0595505
USA,electricity,wind,wind_offshore,2080,0.071783
USA,electricity,wind,wind_offshore,2085,0.071783
USA,electricity,wind,wind_offshore,2090,0.071783
USA,electricity,wind,wind_offshore,2095,0.071783
USA,electricity,wind,wind_offshore,2100,0.071783
USA,electricity,wind,wind_offshore,2085,0.0467453
USA,electricity,wind,wind_offshore,2090,0.0467453
USA,electricity,wind,wind_offshore,2095,0.0467453
USA,electricity,wind,wind_offshore,2100,0.0467453
USA,electricity,wind,wind_offshore,2090,0.0466298
USA,electricity,wind,wind_offshore,2095,0.0466298
USA,electricity,wind,wind_offshore,2100,0.0466298
USA,electricity,wind,wind_offshore,2095,0.0521118
USA,electricity,wind,wind_offshore,2100,0.0521118
USA,electricity,wind,wind_offshore,2100,0.0492351
USA,electricity,solar,PV,1990,1.08004e-05
USA,electricity,solar,PV,2005,0.00188638
USA,electricity,solar,PV,2010,0.0110265
USA,electricity,solar,PV,2015,0.115524
USA,electricity,solar,PV,2021,0.533342
USA,electricity,solar,PV,2025,0.533342
USA,electricity,solar,PV,2030,0.533342
USA,electricity,solar,PV,2035,0.533342
USA,electricity,solar,PV,2040,0.533342
USA,electricity,solar,PV,2045,0.533342
USA,electricity,solar,PV,2025,0.458457
USA,electricity,solar,PV,2030,0.458457
USA,electricity,solar,PV,2035,0.458457
USA,electricity,solar,PV,2040,0.458457
USA,electricity,solar,PV,2045,0.458457
USA,electricity,solar,PV,2050,0.458457
USA,electricity,solar,PV,2030,0.670792
USA,electricity,solar,PV,2035,0.670792
USA,electricity,solar,PV,2040,0.670792
USA,electricity,solar,PV,2045,0.670792
USA,electricity,solar,PV,2050,0.670792
USA,electricity,solar,PV,2055,0.670792
USA,electricity,solar,PV,2035,0.634255
USA,electricity,solar,PV,2040,0.634255
USA,electricity,solar,PV,2045,0.634255
USA,electricity,solar,PV,2050,0.634255
USA,electricity,solar,PV,2055,0.634255
USA,electricity,solar,PV,2060,0.634255
USA,electricity,solar,PV,2040,0.712342
USA,electricity,solar,PV,2045,0.712342
USA,electricity,solar,PV,2050,0.712342
USA,electricity,solar,PV,2055,0.712342
USA,electricity,solar,PV,2060,0.712342
USA,electricity,solar,PV,2065,0.712342
USA,electricity,solar,PV,2045,0.723762
USA,electricity,solar,PV,2050,0.723762
USA,electricity,solar,PV,2055,0.723762
USA,electricity,solar,PV,2060,0.723762
USA,electricity,solar,PV,2065,0.723762
USA,electricity,solar,PV,2070,0.723762
USA,electricity,solar,PV,2050,1.0949
USA,electricity,solar,PV,2055,1.0949
USA,electricity,solar,PV,2060,1.0949
USA,electricity,solar,PV,2065,1.0949
USA,electricity,solar,PV,2070,1.0949
USA,electricity,solar,PV,2075,1.0949
USA,electricity,solar,PV,2055,0.738102
USA,electricity,solar,PV,2060,0.738102
USA,electricity,solar,PV,2065,0.738102
USA,electricity,solar,PV,2070,0.738102
USA,electricity,solar,PV,2075,0.738102
USA,electricity,solar,PV,2080,0.738102
USA,electricity,solar,PV,2060,0.656518
USA,electricity,solar,PV,2065,0.656518
USA,electricity,solar,PV,2070,0.656518
USA,electricity,solar,PV,2075,0.656518
USA,electricity,solar,PV,2080,0.656518
USA,electricity,solar,PV,2085,0.656518
USA,electricity,solar,PV,2065,0.618584
USA,electricity,solar,PV,2070,0.618584
USA,electricity,solar,PV,2075,0.618584
USA,electricity,solar,PV,2080,0.618584
USA,electricity,solar,PV,2085,0.618584
USA,electricity,solar,PV,2090,0.618584
USA,electricity,solar,PV,2070,0.630965
USA,electricity,solar,PV,2075,0.630965
USA,electricity,solar,PV,2080,0.630965
USA,electricity,solar,PV,2085,0.630965
USA,electricity,solar,PV,2090,0.630965
USA,electricity,solar,PV,2095,0.630965
USA,electricity,solar,PV,2075,0.567043
USA,electricity,solar,PV,2080,0.567043
USA,electricity,solar,PV,2085,0.567043
USA,electricity,solar,PV,2090,0.567043
USA,electricity,solar,PV,2095,0.567043
USA,electricity,solar,PV,2100,0.567043
USA,electricity,solar,PV,2080,0.744854
USA,electricity,solar,PV,2085,0.744854
USA,electricity,solar,PV,2090,0.744854
USA,electricity,solar,PV,2095,0.744854
USA,electricity,solar,PV,2100,0.744854
USA,electricity,solar,PV,2085,0.507052
USA,electricity,solar,PV,2090,0.507052
USA,electricity,solar,PV,2095,0.507052
USA,electricity,solar,PV,2100,0.507052
USA,electricity,solar,PV,2090,0.510645
USA,electricity,solar,PV,2095,0.510645
USA,electricity,solar,PV,2100,0.510645
USA,electricity,solar,PV,2095,0.566307
USA,electricity,solar,PV,2100,0.566307
USA,electricity,solar,PV,2100,0.533486
USA,electricity,solar,PV_storage,2025,4.89599e-05
USA,electricity,solar,PV_storage,2030,4.89599e-05
USA,electricity,solar,PV_storage,2035,4.89599e-05
USA,electricity,solar,PV_storage,2040,4.89599e-05
USA,electricity,solar,PV_storage,2045,4.89599e-05
USA,electricity,solar,PV_storage,2050,4.89599e-05
USA,electricity,solar,PV_storage,2030,0.000126461
USA,electricity,solar,PV_storage,2035,0.000126461
USA,electricity,solar,PV_storage,2040,0.000126461
USA,electricity,solar,PV_storage,2045,0.000126461
USA,electricity,solar,PV_storage,2050,0.000126461
USA,electricity,solar,PV_storage,2055,0.000126461
USA,electricity,solar,PV_storage,2035,0.000236033
USA,electricity,solar,PV_storage,2040,0.000236033
USA,electricity,solar,PV_storage,2045,0.000236033
USA,electricity,solar,PV_storage,2050,0.000236033
USA,electricity,solar,PV_storage,2055,0.000236033
USA,electricity,solar,PV_storage,2060,0.000236033
USA,electricity,solar,PV_storage,2040,0.000551854
USA,electricity,solar,PV_storage,2045,0.000551854
USA,electricity,solar,PV_storage,2050,0.000551854
USA,electricity,solar,PV_storage,2055,0.000551854
USA,electricity,solar,PV_storage,2060,0.000551854
USA,electricity,solar,PV_storage,2065,0.000551854
USA,electricity,solar,PV_storage,2045,0.00107896
USA,electricity,solar,PV_storage,2050,0.00107896
USA,electricity,solar,PV_storage,2055,0.00107896
USA,electricity,solar,PV_storage,2060,0.00107896
USA,electricity,solar,PV_storage,2065,0.00107896
USA,electricity,solar,PV_storage,2070,0.00107896
USA,electricity,solar,PV_storage,2050,0.00266078
USA,electricity,solar,PV_storage,2055,0.00266078
USA,electricity,solar,PV_storage,2060,0.00266078
USA,electricity,solar,PV_storage,2065,0.00266078
USA,electricity,solar,PV_storage,2070,0.00266078
USA,electricity,solar,PV_storage,2075,0.00266078
USA,electricity,solar,PV_storage,2055,0.00245493
USA,electricity,solar,PV_storage,2060,0.00245493
USA,electricity,solar,PV_storage,2065,0.00245493
USA,electricity,solar,PV_storage,2070,0.00245493
USA,electricity,solar,PV_storage,2075,0.00245493
USA,electricity,solar,PV_storage,2080,0.00245493
USA,electricity,solar,PV_storage,2060,0.00260515
USA,electricity,solar,PV_storage,2065,0.00260515
USA,electricity,solar,PV_storage,2070,0.00260515
USA,electricity,solar,PV_storage,2075,0.00260515
USA,electricity,solar,PV_storage,2080,0.00260515
USA,electricity,solar,PV_storage,2085,0.00260515
USA,electricity,solar,PV_storage,2065,0.00275678
USA,electricity,solar,PV_storage,2070,0.00275678
USA,electricity,solar,PV_storage,2075,0.00275678
USA,electricity,solar,PV_storage,2080,0.00275678
USA,electricity,solar,PV_storage,2085,0.00275678
USA,electricity,solar,PV_storage,2090,0.00275678
USA,electricity,solar,PV_storage,2070,0.00296958
USA,electricity,solar,PV_storage,2075,0.00296958
USA,electricity,solar,PV_storage,2080,0.00296958
USA,electricity,solar,PV_storage,2085,0.00296958
USA,electricity,solar,PV_storage,2090,0.00296958
USA,electricity,solar,PV_storage,2095,0.00296958
USA,electricity,solar,PV_storage,2075,0.00256409
USA,electricity,solar,PV_storage,2080,0.00256409
USA,electricity,solar,PV_storage,2085,0.00256409
USA,electricity,solar,PV_storage,2090,0.00256409
USA,electricity,solar,PV_storage,2095,0.00256409
USA,electricity,solar,PV_storage,2100,0.00256409
USA,electricity,solar,PV_storage,2080,0.00312035
USA,electricity,solar,PV_storage,2085,0.00312035
USA,electricity,solar,PV_storage,2090,0.00312035
USA,electricity,solar,PV_storage,2095,0.00312035
USA,electricity,solar,PV_storage,2100,0.00312035
USA,electricity,solar,PV_storage,2085,0.0020266
USA,electricity,solar,PV_storage,2090,0.0020266
USA,electricity,solar,PV_storage,2095,0.0020266
USA,electricity,solar,PV_storage,2100,0.0020266
USA,electricity,solar,PV_storage,2090,0.0019916
USA,electricity,solar,PV_storage,2095,0.0019916
USA,electricity,solar,PV_storage,2100,0.0019916
